tail: top 25,000 uncoded strings, covering 492,040 education rows
[cip_llm] firing 50,000 units across ['local5080', 'fw4b', 'fwmoe']
  [pool] 2,375 done  8.48 item/s  ~94 min left  (failed=0)
  [pool] 2,400 done  8.48 item/s  ~94 min left  (failed=0)
  [pool] 2,425 done  8.47 item/s  ~94 min left  (failed=0)
  [pool] 2,450 done  8.47 item/s  ~94 min left  (failed=0)
  [pool] 2,475 done  8.47 item/s  ~93 min left  (failed=0)
  [pool] 2,500 done  8.46 item/s  ~94 min left  (failed=0)
  [pool] 2,525 done  8.47 item/s  ~93 min left  (failed=0)
  [pool] 2,550 done  8.46 item/s  ~93 min left  (failed=0)
  [pool] 2,575 done  8.48 item/s  ~93 min left  (failed=0)
  [pool] 2,600 done  8.47 item/s  ~93 min left  (failed=0)
  [pool] 2,625 done  8.47 item/s  ~93 min left  (failed=0)
  [pool] 2,650 done  8.46 item/s  ~93 min left  (failed=0)
  [pool] 2,675 done  8.43 item/s  ~94 min left  (failed=0)
  [pool] 2,700 done  8.42 item/s  ~94 min left  (failed=0)
  [pool] 2,725 done  8.42 item/s  ~94 min left  (failed=0)
  [pool] 2,750 done  8.43 item/s  ~93 min left  (failed=0)
  [pool] 2,775 done  8.43 item/s  ~93 min left  (failed=0)
  [pool] 2,800 done  8.41 item/s  ~93 min left  (failed=0)
  [pool] 2,825 done  8.41 item/s  ~93 min left  (failed=0)
  [pool] 2,850 done  8.40 item/s  ~94 min left  (failed=0)
  [pool] 2,875 done  8.37 item/s  ~94 min left  (failed=0)
  [pool] 2,900 done  8.38 item/s  ~94 min left  (failed=0)
  [pool] 2,925 done  8.38 item/s  ~94 min left  (failed=0)
  [pool] 2,950 done  8.38 item/s  ~94 min left  (failed=0)
  [pool] 2,975 done  8.38 item/s  ~93 min left  (failed=0)
  [pool] 3,000 done  8.38 item/s  ~93 min left  (failed=0)
  [pool] 3,025 done  8.39 item/s  ~93 min left  (failed=0)
  [pool] 3,050 done  8.39 item/s  ~93 min left  (failed=0)
  [pool] 3,075 done  8.38 item/s  ~93 min left  (failed=0)
  [pool] 3,100 done  8.39 item/s  ~93 min left  (failed=0)
  [pool] 3,125 done  8.39 item/s  ~93 min left  (failed=0)
  [pool] 3,150 done  8.40 item/s  ~93 min left  (failed=0)
  [pool] 3,175 done  8.40 item/s  ~93 min left  (failed=0)
  [pool] 3,200 done  8.40 item/s  ~93 min left  (failed=0)
  [pool] 3,225 done  8.41 item/s  ~93 min left  (failed=0)
  [pool] 3,250 done  8.41 item/s  ~93 min left  (failed=0)
  [pool] 3,275 done  8.41 item/s  ~93 min left  (failed=0)
