# Imputed for SOC 15-1252 (Software Developers): https://www.onetcenter.org/dl_files/database/db_22_0_text/Skills.txt has no rows in any O*NET release 25.1-29.3, so this file holds the Scale ID='IM' rows for its O*NET 22.0 pre-split detail codes 15-1132.00 and 15-1133.00 (both crosswalk to 15-1252). skill_breadth/onet_skills.py averages these two codes' Data Value per skill and inserts the result as 15-1252's row in the skill matrix before z-scoring. See reference/README.md.
O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
15-1133.00	2.A.2.b	Active Learning	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2013	Analyst
15-1133.00	2.A.2.c	Learning Strategies	IM	2.38	8	0.18	2.02	2.73	N	n/a	07/2013	Analyst
15-1133.00	2.A.2.d	Monitoring	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
15-1133.00	2.B.1.a	Social Perceptiveness	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2013	Analyst
15-1133.00	2.B.1.b	Coordination	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
15-1133.00	2.B.1.c	Persuasion	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2013	Analyst
15-1133.00	2.B.1.d	Negotiation	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2013	Analyst
15-1133.00	2.B.1.e	Instructing	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2013	Analyst
15-1133.00	2.B.1.f	Service Orientation	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2013	Analyst
15-1133.00	2.B.2.i	Complex Problem Solving	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.a	Operations Analysis	IM	2.75	8	0.25	2.26	3.24	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.b	Technology Design	IM	1.62	8	0.38	1.00	2.36	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.c	Equipment Selection	IM	1.12	8	0.13	1.00	1.37	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.d	Installation	IM	1.25	8	0.25	1.00	1.74	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.e	Programming	IM	2.38	8	0.42	1.55	3.20	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.g	Operation Monitoring	IM	1.50	8	0.19	1.13	1.87	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.h	Operation and Control	IM	1.25	8	0.25	1.00	1.74	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.j	Equipment Maintenance	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.k	Troubleshooting	IM	1.25	8	0.25	1.00	1.74	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.l	Repairing	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2013	Analyst
15-1133.00	2.B.3.m	Quality Control Analysis	IM	2.12	8	0.13	1.88	2.37	N	n/a	07/2013	Analyst
15-1133.00	2.B.4.e	Judgment and Decision Making	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2013	Analyst
15-1133.00	2.B.4.g	Systems Analysis	IM	2.75	8	0.25	2.26	3.24	N	n/a	07/2013	Analyst
15-1133.00	2.B.4.h	Systems Evaluation	IM	2.50	8	0.27	1.98	3.02	N	n/a	07/2013	Analyst
15-1133.00	2.B.5.a	Time Management	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
15-1133.00	2.B.5.b	Management of Financial Resources	IM	1.75	8	0.16	1.43	2.07	N	n/a	07/2013	Analyst
15-1133.00	2.B.5.c	Management of Material Resources	IM	1.88	8	0.13	1.63	2.12	N	n/a	07/2013	Analyst
15-1133.00	2.B.5.d	Management of Personnel Resources	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2013	Analyst
